DateTime,VehicleID,X,Y,Longitude,Latitude,Speed,FuelConsumption,CO2Emission,TravelTime,ActionId,ActionName,ActionParam,ActionDuration,LaneMaxSpeed,Neighbors,AllowedSpeed,VehicleAdded,VehicleAddedAhead,VehicleAddedBehind,ActionVehicleAhead,ActionVehicleBehind
40,veh1,0,0,0,0,18.192734861917796,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,2,15.632078,0,0,0,1,0
31,veh1,0,0,0,0,11.6741464792781,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,26.3,1,18.766000000000002,0,0,0,0,0
29,veh1,0,0,0,0,18.46737327327393,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
69,veh1,0,0,0,0,18.101715856868775,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
69,veh1,0,0,0,0,18.101715856868775,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
29,veh1,0,0,0,0,18.46737327327393,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
23,veh1,0,0,0,0,8.108392119078344,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,27.78,2,18.766000000000002,0,0,0,0,0
49,veh1,0,0,0,0,1.1849674085959272,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,2,15.632078,0,0,0,1,0
15,veh1,0,0,0,0,15.594266823431479,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,27.78,2,18.766000000000002,0,0,0,0,0
55,veh1,0,0,0,0,13.769819410863889,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
42,veh1,0,0,0,0,17.705083627192305,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
51,veh1,0,0,0,0,10.152446895736166,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
36,veh1,0,0,0,0,14.227623251903804,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,2,15.632078,0,0,0,0,0
59,veh1,0,0,0,0,13.8643397976961,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
56,veh1,0,0,0,0,14.93118263705075,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
16,veh1,0,0,0,0,15.264722843825819,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,27.78,1,18.766000000000002,0,0,0,0,0
65,veh1,0,0,0,0,17.470528111265974,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
40,veh1,0,0,0,0,18.192734861917796,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,2,15.632078,0,0,0,1,0
46,veh1,0,0,0,0,8.528137422699787,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
53,veh1,0,0,0,0,7.147393258402187,157245.92011548087,493012.71030417585,72.0,0,Aucune,0,0,16.66,1,15.632078,0,0,0,0,0
