DateTime,VehicleID,X,Y,Longitude,Latitude,Speed,Acceleration,FuelConsumption,CO2Emission,TravelTime,ActionId,ActionName,ActionParam,ActionDuration,LaneMaxSpeed,Neighbors,AllowedSpeed,VehicleAdded,VehicleAddedAhead,VehicleAddedBehind,ActionVehicleAhead,ActionVehicleBehind
27,veh1,656.3728355879933,543.7012002014989,1.4696939167772713,43.564756596740246,15.654938335468994,-1.2821373518090695,269031.2299787967,843490.0195595303,85.0,1,accelerate,8.164097487004597,9,16.66,1,15.632078,0,0,0,0,1
15,veh1,536.2743096838768,509.11967104278114,1.4682151944808792,43.56442541672622,13.529527541152362,1.5987376477978206,159309.85171938938,499482.511204179,51.0,1,accelerate,3.578039575597951,20,27.78,2,18.766000000000002,2,2,0,1,2
70,veh1,351.9168620240629,703.6547073983122,1.465888738987705,43.56614581554812,15.87418321327679,-2.227532643591985,197551.91765290117,619383.7359423258,69.0,1,accelerate,7.834560954536174,17,27.78,1,18.766000000000002,0,0,0,1,0
34,veh1,566.2399311417128,533.7419826670255,1.4685804992539615,43.56465201167997,6.855278562679828,0.23998685691533517,206431.62964186986,647221.3270581069,96.0,1,accelerate,3.2743683959764107,11,27.78,5,18.766000000000002,13,8,5,4,0
65,veh1,420.96119005739456,750.5973344247845,1.4667326870311093,43.566579812182425,17.470528111265974,3.283397302730009,191076.11789835605,599076.1987890007,82.0,1,accelerate,7.545611503607995,9,16.66,1,15.632078,0,0,0,0,1
51,veh1,526.203885201338,766.6270783458573,1.46803179006271,43.56674156329208,10.152446895736166,8.752312298165634,218605.2354900759,685392.3450645045,66.0,1,accelerate,9.888700042501174,12,16.66,1,15.632078,0,0,0,0,1
16,veh1,524.1703528068654,492.16351908063547,1.46806923777396,43.56427078692645,8.017058921977878,8.017058921977878,297071.3504686732,931403.9246144323,79.0,1,accelerate,6.377111764106049,19,27.78,3,18.766000000000002,5,2,3,2,1
40,veh1,594.9334243027835,552.5368663637137,1.468931388752831,43.56482594202757,4.47085806446809,-1.4258401418979885,281080.2155132386,881265.0052128658,98.0,1,accelerate,7.912914655815834,19,27.78,5,18.766000000000002,10,8,2,2,1
40,veh1,670.3826523549099,585.2052191112228,1.469857876193846,43.565132495226926,11.051538234915714,-3.434615426994732,220730.38572653165,692050.2480602068,101.0,1,accelerate,8.719404638855641,9,26.3,1,18.766000000000002,14,4,10,2,1
36,veh1,577.8770559540177,541.3675113179726,1.4687228074255474,43.56472257871397,6.063141423930995,-2.6194214646284912,470197.805190937,1474142.2188611967,382.0,1,accelerate,7.239796712985578,14,27.78,5,18.766000000000002,12,7,5,3,1
22,veh1,615.2566127900955,568.4728340528981,1.4691793217898634,43.56497275071833,7.2297968012666285,-3.1108545823954064,442856.4669944285,1388420.805294132,372.0,1,accelerate,6.238248781983884,17,27.78,3,18.766000000000002,1,0,1,0,1
63,veh1,481.2468944150126,805.1198923894896,1.4674664966158597,43.567080575838204,12.731886253595288,1.7858333348581148,232215.84132112475,728065.6024148042,71.0,1,accelerate,9.116778167953871,9,16.66,1,15.632078,1,1,0,0,2
16,veh1,524.1703528068654,492.16351908063547,1.46806923777396,43.56427078692645,8.017058921977878,8.017058921977878,224154.8897827148,702792.0405203623,69.0,1,accelerate,4.139092490410691,10,27.78,3,18.766000000000002,6,2,4,2,1
47,veh1,678.7889712792826,574.6928223712757,1.4699643279319434,43.565039266258225,13.965207161661295,-1.9497783473937194,256321.93580036567,803641.335985152,87.0,1,accelerate,9.969181987219141,16,16.66,1,15.632078,9,4,5,3,1
42,veh1,624.443839770543,616.3408844949138,1.4692821318497618,43.56540513298604,15.460629053818064,-2.3876055772416294,206299.32960009208,646808.7889640309,73.0,1,accelerate,7.233386506433947,9,16.66,3,15.632078,5,3,2,2,0
38,veh1,680.115199614559,564.2621837151175,1.4699831211584462,43.56494560001675,16.23144135621999,-2.3319219331790855,248897.8568919583,780363.7897176313,100.0,1,accelerate,4.887782113665522,8,16.66,1,15.632078,14,4,10,2,1
28,veh1,565.1169451682096,533.0061169051918,1.4685667664911948,43.56464520193125,7.341083657770954,2.365973003258829,283081.4349366379,887539.1013860248,95.0,1,accelerate,8.127700407165026,15,27.78,5,18.766000000000002,12,3,9,4,0
37,veh1,610.2178946364153,562.226308048561,1.4691183751166477,43.564915690551054,6.8423201517700365,1.931856752109077,200357.4708332388,628176.4003170636,95.0,1,accelerate,9.693193897434575,7,27.78,5,18.766000000000002,9,6,3,1,2
67,veh1,572.1268224447216,690.9613066032662,1.4686175124695096,43.56606811521092,15.608544312288917,2.3921745175771143,232027.40407608275,727470.1132794054,97.0,1,accelerate,8.46092016993272,9,16.66,3,15.632078,13,6,7,0,4
32,veh1,678.3677199417845,576.0663706153521,1.4699588005611204,43.56505155974204,18.22219249642083,4.051612479567542,246179.38839899903,771845.9502359907,65.0,1,accelerate,9.439929614483544,14,16.66,1,15.632078,3,1,2,2,1
67,veh1,573.7196795572329,688.582166521203,1.4686377723109696,43.566046964792726,11.393565233927157,-0.2387791867191158,238461.73656656145,747643.3883893111,97.0,1,accelerate,7.219638822294738,13,16.66,3,15.632078,14,8,6,0,5
56,veh1,645.6965409607034,599.2196441766413,1.4695491087139394,43.56525454776806,9.942157306263441,-4.0,206153.35758357903,646349.1783454663,99.0,1,accelerate,3.965173617206374,8,16.66,1,15.632078,14,7,7,4,0
55,veh1,629.7977310965302,609.030316889,1.469350070960568,43.56534021820883,11.002859566817783,-1.8884389166733904,204623.26375405389,641553.7037930833,78.0,1,accelerate,3.9991746321219104,9,16.66,1,15.632078,13,7,6,3,0
50,veh1,528.9514082018198,756.8995711971552,1.468068020157928,43.56665446211239,1.4001345975705317,0.21516718897460452,192242.08196151746,602735.5081345851,70.0,1,accelerate,5.388161981376375,11,16.66,1,15.632078,0,0,0,1,0
51,veh1,625.1183564651817,571.254499379229,1.4693007594018426,43.564999423220215,3.302861847741218,-1.5978489756217793,442732.00203775446,1388029.258755289,390.0,1,accelerate,4.3105157772357625,18,27.78,4,18.766000000000002,11,9,2,0,2
44,veh1,679.4787757569084,559.7543362792383,1.4699762704718793,43.56490491951481,17.848234631059693,3.865971766645089,254070.06472218595,796584.7574265983,75.0,1,accelerate,5.465449522450982,14,16.66,1,15.632078,7,5,2,2,0
40,veh1,646.6383798598936,598.5479871736474,1.4695609202323545,43.56524865829549,15.455002653940358,6.521352910683694,231918.56435806202,727130.1462968079,80.0,1,accelerate,6.579955345192732,13,16.66,1,15.632078,3,2,1,2,0
16,veh1,0.0,0.0,0.0,0.0,0.0,0.0,170268.07911067447,533838.4371290688,100.0,0,Aucune,0.0,0,0.0,0,0.0,13,5,8,0,0
69,veh1,485.7093775175427,795.139708899113,1.4675240144106776,43.56699148514797,14.564127659646154,2.8243053645602227,216294.48233881104,678142.7418862303,99.0,1,accelerate,5.422768798146582,5,12.14,1,11.390962,3,1,2,1,1
42,veh1,607.1043216677624,559.7400754174103,1.4690804012304504,43.56489279583868,5.01399869055068,-1.2160483914827322,293152.0507399255,919118.0027067754,79.0,1,accelerate,4.677018830256955,19,27.78,5,18.766000000000002,14,6,8,1,2
56,veh1,613.1628295037103,632.0891858305922,1.4691389005490447,43.56554501297572,15.83309952317596,2.2428413080148815,227600.55257360043,713593.5352535344,86.0,1,accelerate,5.613644942008299,9,16.66,3,15.632078,7,5,2,2,0
34,veh1,616.5502290607517,569.0272410260364,1.4691952081807504,43.564977955375014,3.2463669081493567,-3.3470543640502983,258137.50728634576,809333.9617609128,101.0,1,accelerate,7.943933332986958,12,27.78,4,18.766000000000002,6,4,2,0,2
26,veh1,0.0,0.0,0.0,0.0,0.0,0.0,168740.3480150904,529047.7714245573,103.0,0,Aucune,0.0,0,0.0,0,0.0,15,8,7,0,0
52,veh1,545.2453368417457,730.687003687234,1.4682756967982713,43.566421226560614,10.76597249761824,-4.0,222693.51881070147,698206.9708132464,80.0,1,accelerate,9.153233284664761,14,16.66,2,15.632078,3,0,3,1,1
39,veh1,667.7387381450314,590.292028597245,1.4698239896955347,43.5651778433874,13.014852898700415,-4.0,246320.1327714831,772283.609429108,78.0,1,accelerate,9.926806970577964,14,44.44,1,18.766000000000002,5,1,4,3,0
30,veh1,639.7672286556407,554.1576196841298,1.4694859847588166,43.56484796267439,14.928420371960883,5.989429332061112,188417.70260165143,590744.3704995215,60.0,1,accelerate,7.032047207685634,17,16.66,1,15.632078,1,0,1,0,1
19,veh1,583.0362337928999,544.7481967587722,1.4687858981308821,43.56475386369539,10.892312106394343,-3.4715000852537194,271925.7197183713,852568.3166214328,64.0,1,accelerate,8.896899000898383,17,27.78,4,18.766000000000002,2,1,1,2,0
21,veh1,562.0302362369607,530.9834706096494,1.4685290197833678,43.56462648422499,6.906832629692328,-4.0,239146.45121357407,749794.3940069472,78.0,1,accelerate,9.39099099259937,9,27.78,4,18.766000000000002,5,4,1,3,1
24,veh1,0.0,0.0,0.0,0.0,0.0,0.0,158691.75737607307,497543.0463878219,104.0,0,Aucune,0.0,0,0.0,0,0.0,10,9,1,0,0
50,veh1,528.9514082018198,756.8995711971552,1.468068020157928,43.56665446211239,1.4001345975705317,0.21516718897460452,211080.70106086438,661796.8579375863,85.0,1,accelerate,9.356842804506613,9,16.66,1,15.632078,0,0,0,1,0
70,veh1,431.194732002798,757.6414091076424,1.4668577557783247,43.566644914841106,13.938869747666935,-2.706098046270199,207850.3985037588,651671.9369303503,73.0,1,accelerate,9.093876209823419,10,16.66,2,15.632078,2,1,1,1,0
44,veh1,680.1156302257789,564.28037703916,1.4699831223431445,43.56494576384588,10.136964914579835,-3.1213753896881826,252593.07294887723,791949.9633955195,87.0,1,accelerate,5.549356245806421,16,16.66,1,15.632078,9,4,5,1,1
66,veh1,408.6906901981449,742.151156369749,1.4665827240571887,43.56650175084542,14.896900476127865,-2.5736276351381093,165184.29914270664,517901.3282605709,65.0,1,accelerate,4.576176236580043,9,16.66,1,15.632078,0,0,0,0,1
21,veh1,0.0,0.0,0.0,0.0,0.0,0.0,148054.1211343577,464189.9139140551,103.0,0,Aucune,0.0,0,0.0,0,0.0,13,7,6,0,0
52,veh1,609.8761992196414,636.6773249128391,1.4690971711529035,43.565585765833006,12.278344081186706,1.3385353405650946,237320.64745355063,744065.2553084561,96.0,1,accelerate,8.739915251043758,11,16.66,5,15.632078,6,3,3,3,0
26,veh1,632.9910990808908,568.6608649126616,1.469398801917189,43.5649773829506,8.100822525687903,5.694433473981918,227868.33738648583,714431.9973858746,83.0,1,accelerate,4.455352198998029,11,12.66,1,11.878878,1,0,1,0,1
26,veh1,585.4251268998844,546.3135810891093,1.4688151115193064,43.56476834980525,7.75829826433935,0.03451480031847609,290269.43981240486,910079.9528710502,77.0,1,accelerate,4.826728157655633,19,27.78,5,18.766000000000002,9,4,5,3,0
49,veh1,662.0635229418409,593.4091706543672,1.4697530294773395,43.56520496026912,10.046449740532454,-4.0,225941.32457365867,708392.2846958924,85.0,1,accelerate,3.127655131856952,11,44.44,1,18.766000000000002,11,6,5,3,1
49,veh1,670.9997123994929,546.3087610664413,1.4698743780039587,43.5647824911886,10.2122705182986,-1.933746375085322,451027.8143157279,1414038.6832581107,396.0,1,accelerate,9.923447034750614,16,16.66,1,15.632078,15,6,9,1,0
12,veh1,0.0,0.0,0.0,0.0,0.0,0.0,155433.68559999712,487327.8590040954,102.0,0,Aucune,0.0,0,0.0,0,0.0,15,9,6,0,0
33,veh1,616.9717206933875,569.2078802971661,1.469200384353749,43.56497965117823,4.1788890567504,-3.818014883418688,283638.4616703016,889286.0398383561,99.0,1,accelerate,9.865050819442281,13,27.78,2,18.766000000000002,4,4,0,0,2
56,veh1,571.134366791908,692.4436687089018,1.4686048892369965,43.56608129332262,14.3323538356661,1.4888676260578873,211069.72204006388,661764.9447866924,81.0,1,accelerate,6.008503349852648,7,16.66,2,15.632078,14,4,10,0,4
13,veh1,0.0,0.0,0.0,0.0,0.0,0.0,156088.01634600016,489380.5387467337,86.0,0,Aucune,0.0,0,0.0,0,0.0,2,2,0,0,0
13,veh1,523.288184136716,490.92770948718726,1.4680586000887255,43.56425951708707,6.498722843825817,6.498722843825817,197046.17000770837,617797.7800477364,53.0,1,accelerate,9.334841160794667,18,27.78,1,18.766000000000002,4,1,3,1,1
13,veh1,521.4816068719191,488.3969173714755,1.4680368153778103,43.5642364377839,3.3893498498308303,3.3893498498308303,265820.6237419885,833427.4508426163,67.0,1,accelerate,8.80795057338301,14,27.78,2,18.766000000000002,6,2,4,1,1
29,veh1,610.9923070309375,563.2051765183096,1.469127737854227,43.56492462970959,5.218627462435075,-1.467965076194611,257362.30387566405,806901.0131289726,100.0,1,accelerate,8.048752786267258,16,27.78,5,18.766000000000002,6,4,2,1,2
47,veh1,675.7774519901319,582.2098388640633,1.469925337455199,43.56510642778956,16.90645106416546,4.036434734049925,252750.74667163726,792443.5972234111,96.0,1,accelerate,5.0984642993954195,14,26.3,1,18.766000000000002,11,5,6,2,0
18,veh1,528.7353818219385,498.5585621626377,1.468124285520352,43.56432910585344,7.857055556307543,-0.16000336567033457,265453.5763724257,832275.9804251349,70.0,1,accelerate,6.267425996361005,16,27.78,3,18.766000000000002,6,3,3,2,1
48,veh1,679.1548799528022,573.4997265368739,1.4699691291324504,43.56502858785304,13.160525258661659,0.31079932313308234,248538.5395512872,779233.2053737981,122.0,1,accelerate,7.159361669628373,9,16.66,1,15.632078,11,4,7,3,0
18,veh1,576.8367121043381,540.6857989568418,1.4687100852461308,43.56471627011978,14.651447212494912,-1.125782422022894,192842.5976063687,604618.8548727267,62.0,1,accelerate,3.822025867255869,12,27.78,2,18.766000000000002,1,0,1,1,0
34,veh1,634.0080843942792,606.2201827214606,1.469402828911648,43.565315622148496,15.508373610001914,1.3684129095830642,227831.67363011593,714320.2602551782,59.0,1,accelerate,7.513392313598608,15,16.66,1,15.632078,1,1,0,1,0
57,veh1,573.0817330253104,689.5350229653802,1.4686296581538596,43.566055435632066,14.072768212842501,3.648512364274037,246917.41230254955,774154.7151635652,86.0,1,accelerate,6.365335472299034,17,16.66,3,15.632078,6,4,2,0,4
16,veh1,0.0,0.0,0.0,0.0,0.0,0.0,161145.8452320962,505238.7839245585,86.0,0,Aucune,0.0,0,0.0,0,0.0,4,2,2,0,0
41,veh1,640.0865127336828,603.2203440297815,1.4694787537983163,43.56528962816527,16.024355747908356,3.8031401827709708,273639.6743052002,857941.6989709997,69.0,1,accelerate,9.588301572922294,17,16.66,1,15.632078,5,3,2,2,2
35,veh1,671.9488312687305,546.7305916749914,1.4698860303344912,43.56478644534823,14.563363289399074,-4.0,433955.93642697774,1360512.2564853225,386.0,1,accelerate,9.014264785344775,13,16.66,1,15.632078,6,2,4,1,2
37,veh1,606.8318893261267,640.9271844935199,1.4690585183783038,43.565623514003,14.283873982898893,0.056250730995088816,200112.86373426433,627412.9972493879,61.0,1,accelerate,7.375188215398488,13,16.66,2,15.632078,3,0,3,1,0
12,veh1,0.0,0.0,0.0,0.0,0.0,0.0,163091.06551726226,511336.0312803502,101.0,0,Aucune,0.0,0,0.0,0,0.0,8,4,4,0,0
69,veh1,538.0604893189536,741.7566755970511,1.468184232997929,43.566519672508676,3.9702729364040374,0.08792380153409063,190696.12135601218,597886.5263614205,95.0,1,accelerate,5.041520242417406,5,16.66,4,15.632078,13,5,8,2,1
